var,value_type,dataset_id
DXCCS16,double,NJ_SID_2012_CORE
DXCCS17,double,NJ_SID_2012_CORE
DXCCS18,double,NJ_SID_2012_CORE
DXCCS19,double,NJ_SID_2012_CORE
DXCCS20,double,NJ_SID_2012_CORE
DXCCS21,double,NJ_SID_2012_CORE
DXCCS22,double,NJ_SID_2012_CORE
DXCCS23,double,NJ_SID_2012_CORE
DXCCS24,double,NJ_SID_2012_CORE
DXPOA1,string,NJ_SID_2012_CORE
DXPOA2,string,NJ_SID_2012_CORE
DXPOA3,string,NJ_SID_2012_CORE
DXPOA4,string,NJ_SID_2012_CORE
DXPOA5,string,NJ_SID_2012_CORE
DXPOA6,string,NJ_SID_2012_CORE
DXPOA7,string,NJ_SID_2012_CORE
DXPOA8,string,NJ_SID_2012_CORE
DXPOA9,string,NJ_SID_2012_CORE
DXPOA10,string,NJ_SID_2012_CORE
DXPOA11,string,NJ_SID_2012_CORE
DXPOA12,string,NJ_SID_2012_CORE
DXPOA13,string,NJ_SID_2012_CORE
DXPOA14,string,NJ_SID_2012_CORE
DXPOA15,string,NJ_SID_2012_CORE
DXPOA16,string,NJ_SID_2012_CORE
DXPOA17,string,NJ_SID_2012_CORE
DXPOA18,string,NJ_SID_2012_CORE
DXPOA19,string,NJ_SID_2012_CORE
DXPOA20,string,NJ_SID_2012_CORE
DXPOA21,string,NJ_SID_2012_CORE
DXPOA22,string,NJ_SID_2012_CORE
DXPOA23,string,NJ_SID_2012_CORE
DXPOA24,string,NJ_SID_2012_CORE
DX_Admitting,string,NJ_SID_2012_CORE
ECODE1,string,NJ_SID_2012_CORE
ECODE2,string,NJ_SID_2012_CORE
ECODE3,string,NJ_SID_2012_CORE
ECODE4,string,NJ_SID_2012_CORE
ECODE5,string,NJ_SID_2012_CORE
ECODE6,string,NJ_SID_2012_CORE
ECODE7,string,NJ_SID_2012_CORE
ECODE8,string,NJ_SID_2012_CORE
ECODE9,string,NJ_SID_2012_CORE
ECODE10,string,NJ_SID_2012_CORE
E_CCS1,double,NJ_SID_2012_CORE
E_CCS2,double,NJ_SID_2012_CORE
E_CCS3,double,NJ_SID_2012_CORE
E_CCS4,double,NJ_SID_2012_CORE
E_CCS5,double,NJ_SID_2012_CORE
E_CCS6,double,NJ_SID_2012_CORE
E_CCS7,double,NJ_SID_2012_CORE
E_CCS8,double,NJ_SID_2012_CORE
E_CCS9,double,NJ_SID_2012_CORE
E_CCS10,double,NJ_SID_2012_CORE
E_POA1,string,NJ_SID_2012_CORE
E_POA2,string,NJ_SID_2012_CORE
E_POA3,string,NJ_SID_2012_CORE
E_POA4,string,NJ_SID_2012_CORE
E_POA5,string,NJ_SID_2012_CORE
E_POA6,string,NJ_SID_2012_CORE
E_POA7,string,NJ_SID_2012_CORE
E_POA8,string,NJ_SID_2012_CORE
E_POA9,string,NJ_SID_2012_CORE
E_POA10,string,NJ_SID_2012_CORE
FEMALE,double,NJ_SID_2012_CORE
HCUP_ED,double,NJ_SID_2012_CORE
HCUP_OS,double,NJ_SID_2012_CORE
HISPANIC_X,string,NJ_SID_2012_CORE
HOSPBRTH,double,NJ_SID_2012_CORE
HOSPST,string,NJ_SID_2012_CORE
KEY,double,NJ_SID_2012_CORE
LOS,double,NJ_SID_2012_CORE
LOS_X,double,NJ_SID_2012_CORE
MARITALSTATUSUB04,string,NJ_SID_2012_CORE
MDC,double,NJ_SID_2012_CORE
MDC24,double,NJ_SID_2012_CORE
MDC_NoPOA,double,NJ_SID_2012_CORE
MDNUM1_R,double,NJ_SID_2012_CORE
MDNUM2_R,double,NJ_SID_2012_CORE
MEDINCSTQ,double,NJ_SID_2012_CORE
MOMNUM_R,double,NJ_SID_2012_CORE
MRN_R,double,NJ_SID_2012_CORE
NCHRONIC,double,NJ_SID_2012_CORE
NCPT,double,NJ_SID_2012_CORE
NDX,double,NJ_SID_2012_CORE
NECODE,double,NJ_SID_2012_CORE
NEOMAT,double,NJ_SID_2012_CORE
NPR,double,NJ_SID_2012_CORE
ORPROC,double,NJ_SID_2012_CORE
OS_TIME,double,NJ_SID_2012_CORE
P7EDSRC_X,string,NJ_SID_2012_CORE
PAY1,double,NJ_SID_2012_CORE
PAY1_X,string,NJ_SID_2012_CORE
PAY2,double,NJ_SID_2012_CORE
PAY2_X,string,NJ_SID_2012_CORE
PAY3,double,NJ_SID_2012_CORE
PAY3_X,string,NJ_SID_2012_CORE
PL_CBSA,double,NJ_SID_2012_CORE
PL_MSA1993,double,NJ_SID_2012_CORE
PL_NCHS2006,double,NJ_SID_2012_CORE
PL_RUCA10_2005,double,NJ_SID_2012_CORE
PL_RUCA2005,double,NJ_SID_2012_CORE
PL_RUCA4_2005,double,NJ_SID_2012_CORE
PL_RUCC2003,double,NJ_SID_2012_CORE
PL_UIC2003,double,NJ_SID_2012_CORE
PL_UR_CAT4,double,NJ_SID_2012_CORE
PR1,string,NJ_SID_2012_CORE
PR2,string,NJ_SID_2012_CORE
PR3,string,NJ_SID_2012_CORE
PR4,string,NJ_SID_2012_CORE
PR5,string,NJ_SID_2012_CORE
